ID,TARGET
2,0.022
5,0.048
6,0.0
7,0.0
9,0.0
11,0.086
12,0.022
15,0.11
16,0.06
17,0.002
19,0.002
21,0.0
22,0.004
24,0.0
27,0.0
28,0.098
30,0.28
33,0.0
35,0.002
37,0.006
38,0.008
40,0.758
41,0.0
44,0.0
46,0.192
47,0.0
48,0.0
50,0.0
52,0.1933
53,0.0
55,0.0
57,0.0
58,0.0
59,0.0
62,0.06
63,0.0
64,0.0
65,0.002
67,0.0
69,0.108
70,0.0
71,0.302
72,0.0
73,0.004
76,0.0
78,0.0
79,0.014
81,0.19
85,0.006
86,0.000274774774775
89,0.0
94,0.002
96,0.0
97,0.228
98,0.0
99,0.028
100,0.424
103,0.11
104,0.0
108,0.0
110,0.0
112,0.058
114,0.0159685524817
116,0.004
117,0.016
119,0.002
120,0.004
121,0.0
123,0.018
124,0.0
126,0.0
128,0.0
129,0.216
133,0.14
138,0.002
147,0.0
149,0.002
158,0.0
160,0.0
164,0.044
167,0.05
168,0.006
174,0.002
181,0.004
185,0.074
187,0.0
189,0.008
190,0.044
194,0.0
197,0.392
198,0.02
201,0.062
205,0.0
208,0.236
211,0.02
216,0.0
219,0.032
223,0.008
224,0.08125
226,0.0
229,0.062
230,0.002
237,0.004
238,0.0
240,0.072
243,0.0
245,0.31
246,0.136
247,0.032
248,0.018
249,0.0
250,0.18
251,0.0
255,0.144
256,0.034
257,0.266
260,0.044
261,0.058
263,0.612
264,0.695306709957
267,0.0
268,0.0
272,0.004
274,0.01
275,0.0
277,0.58
278,0.354
280,0.0
281,0.008
282,0.1
283,0.0
284,0.304
286,0.0
290,0.014
291,0.0
293,0.056
295,0.102
297,0.0
298,0.284
300,0.0
304,0.0
305,0.0
308,0.0
309,0.0
310,0.048
312,0.0
313,0.0645
315,0.056
317,0.048
318,0.048
321,0.008
323,0.186
325,0.002
326,0.0
327,0.002
328,0.406
329,0.022
330,0.004
331,0.014
334,0.018
335,0.0
336,0.064
337,0.002
338,0.0
339,0.0
341,0.305814285714
343,0.148
346,0.0
348,0.0
350,0.282
351,0.0
352,0.028304911148
357,0.094
358,0.0
360,0.002
361,0.0
364,0.004
365,0.268
366,0.0
367,0.0
368,0.21
370,0.0
372,0.002
376,0.0
377,0.002
379,0.002
380,0.0
381,0.036
385,0.042
386,0.022
389,0.042
391,0.178
392,0.068
393,0.0
395,0.034
396,0.0
397,0.002
398,0.0
399,0.184
400,0.0
401,0.02
403,0.0
405,0.024
406,0.008
409,0.0
411,0.004
413,0.004
418,0.0
419,0.0
422,0.028304911148
424,0.266
425,0.03
427,0.0
430,0.0
431,0.0
434,0.0
435,0.01
437,0.008
438,0.002
439,0.012
442,0.0
446,0.0
450,0.184
451,0.0
452,0.002
454,0.0
455,0.0
463,0.002
464,0.002
465,0.0
467,0.01
468,0.054
470,0.006
472,0.205333333333
473,0.0
475,0.002
476,0.0
479,0.0
481,0.0
483,0.008
484,0.004
486,0.12
487,0.0
491,0.0
494,0.002
495,0.01
497,0.01
498,0.006
499,0.0
503,0.0
504,0.022
505,0.002
506,0.0
507,0.162
508,0.086
509,0.0
510,0.0
511,0.04
512,0.208
516,0.0
518,0.008
519,0.0
520,0.004
521,0.004
522,0.0
524,0.062
525,0.004
526,0.0
528,0.0
529,0.028
531,0.01
532,0.168
534,0.124
536,0.292
539,0.107733333333
540,0.118
541,0.0
542,0.004
545,0.0
546,0.0
552,0.008
556,0.026
557,0.0
559,0.0
562,0.016
563,0.004
565,0.208
569,0.0
570,0.034
574,0.01
575,0.0
585,0.002
589,0.024
590,0.048
592,0.0
593,0.022
594,0.0
595,0.0
597,0.022
601,0.0
603,0.0
604,0.0
605,0.018
607,0.0
608,0.288
610,0.066
612,0.59
613,0.012
615,0.028
616,0.354
617,0.08
619,0.0
620,0.302
621,0.0
624,0.008
625,0.286
628,0.324
629,0.038
630,0.0
632,0.168
634,0.002
637,0.0
638,0.0
642,0.006
643,0.0
644,0.056
646,0.0
655,0.166
660,0.0
664,0.006
665,0.306
666,0.0
670,0.088
671,0.142
672,0.0
675,0.0
676,0.402
677,0.0
678,0.018
680,0.018
683,0.09
684,0.0
685,0.1
691,0.094
693,0.0
696,0.0
698,0.0
699,0.0
700,0.002
703,0.298
704,0.024
705,0.0
707,0.192
709,0.17
711,0.07
713,0.0
716,0.0
719,0.0
721,0.022
722,0.0
723,0.022
724,0.0
727,0.0
728,0.152
729,0.0
733,0.0
736,0.004
739,0.006
742,0.15
743,0.004
744,0.0
745,0.154
747,0.004
749,0.008
750,0.002
751,0.008
752,0.0
755,0.0
756,0.0
762,0.002
763,0.0
764,0.016
765,0.0
766,0.006
769,0.0
770,0.092
773,0.0
774,0.15
776,0.0
777,0.0
778,0.002
779,0.0
780,0.0
781,0.04
786,0.01
788,0.0
794,0.242
796,0.506
801,0.196
802,0.002
803,0.0
804,0.016
805,0.0
809,0.036
810,0.002
817,0.0
819,0.00387957571923
821,0.0
824,0.312
825,0.016
826,0.09
830,0.004
831,0.398
832,0.002
833,0.042
837,0.0
839,0.006
840,0.002
841,0.01
842,0.002
843,0.0
844,0.088
845,0.0
848,0.004
853,0.008
854,0.0
855,0.0
856,0.004
861,0.002
865,0.0
866,0.0
867,0.002
870,0.0
871,0.026
872,0.0
873,0.0
874,0.052
875,0.0
876,0.0
879,0.004
880,0.00250321300321
883,0.0
884,0.0
886,0.022
890,0.0
892,0.004
893,0.29
894,0.0
895,0.032
896,0.138
897,0.0
899,0.088
900,0.002
901,0.0
902,0.584
905,0.0
912,0.066
914,0.156
915,0.068
917,0.104
918,0.0
919,0.0
921,0.0
922,0.0
923,0.002
926,0.0
929,0.0
930,0.012
931,0.048
937,0.0
938,0.002
939,0.002
941,0.042
946,0.004
947,0.15
950,0.0
951,0.0
952,0.0
953,0.002
954,0.0
955,0.0
956,0.07
957,0.036
960,0.016
963,0.036
966,0.0
969,0.0
971,0.0
972,0.0
975,0.0
980,0.0
982,0.182
983,0.0
985,0.22
987,0.0
988,0.0
991,0.0
992,0.0
995,0.12
996,0.0
998,0.0
1001,0.11
1002,0.01
1004,0.0
1005,0.034
1010,0.0
1011,0.0
1012,0.0
1013,0.002
1014,0.038
1015,0.182
1016,0.004
1022,0.0
1023,0.152
1024,0.0
1025,0.0
1026,0.296
1028,0.0
1029,0.026
1032,0.002
1034,0.002
1036,0.04
1037,0.002
1039,0.034
1042,0.0
1045,0.0
1046,0.074
1050,0.0
1052,0.012
1055,0.0
1057,0.0
1058,0.0
1060,0.0
1062,0.032
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.43725
1068,0.096
1070,0.256
1072,0.016
1077,0.238
1078,0.036
1079,0.0
1081,0.028
1082,0.47
1093,0.028
1094,0.0
1102,0.006
1103,0.0
1106,0.002
1107,0.184
1112,0.348
1113,0.0
1114,0.02
1116,0.0
1118,0.244
1120,0.066
1121,0.016
1128,0.0
1130,0.016
1132,0.004
1135,0.05
1138,0.310916666667
1139,0.0
1141,0.0
1143,0.386
1146,0.422
1148,0.028304911148
1149,0.0
1151,0.008
1152,0.000142857142857
1153,0.004
1155,0.122
1157,0.0
1160,0.282
1161,0.004
1162,0.002
1164,0.0
1168,0.004
1169,0.0
1174,0.064
1176,0.044
1177,0.124
1178,0.0
1180,0.002
1181,0.258
1182,0.126
1185,0.636
1190,0.00217825311943
1194,0.004
1196,0.088
1199,0.0
1200,0.0
1201,0.0
1202,0.012
1206,0.068
1207,0.002
1208,0.0
1212,0.014
1216,0.0
